"","subno","loss","gain","response","condition","resp"
"1","1",3,5,"accept","20.60",1
"2","1",4,6,"accept","20.60",1
"3","1",4,8,"accept","20.60",1
"4","1",5,17,"accept","20.60",1
"5","1",6,1,"accept","20.60",1
"6","1",6,14,"accept","20.60",1
"7","1",6,18,"accept","20.60",1
"8","1",6,18,"accept","20.60",1
"9","1",7,17,"accept","20.60",1
"10","1",9,5,"accept","20.60",1
"11","1",10,1,"accept","20.60",1
"12","1",11,19,"accept","20.60",1
"13","1",12,1,"accept","20.60",1
"14","1",12,1,"accept","20.60",1
"15","1",13,18,"accept","20.60",1
"16","1",13,19,"accept","20.60",1
"17","1",15,9,"reject","20.60",0
"18","1",16,0,"accept","20.60",1
"19","1",16,7,"accept","20.60",1
"20","1",16,7,"accept","20.60",1
"21","1",17,5,"accept","20.60",1
"22","1",19,9,"accept","20.60",1
"23","1",20,4,"accept","20.60",1
"24","1",20,15,"accept","20.60",1
"25","1",22,7,"accept","20.60",1
"26","1",23,9,"accept","20.60",1
"27","1",24,13,"accept","20.60",1
"28","1",26,9,"accept","20.60",1
"29","1",27,4,"accept","20.60",1
"30","1",29,7,"accept","20.60",1
"31","1",29,8,"accept","20.60",1
"32","1",30,10,"accept","20.60",1
"33","1",31,17,"accept","20.60",1
"34","1",32,4,"accept","20.60",1
"35","1",32,16,"accept","20.60",1
"36","1",33,17,"accept","20.60",1
"37","1",34,9,"accept","20.60",1
"38","1",34,17,"accept","20.60",1
"39","1",36,10,"accept","20.60",1
"40","1",37,6,"accept","20.60",1
"41","1",37,16,"accept","20.60",1
"42","1",39,8,"accept","20.60",1
"43","1",40,4,"accept","20.60",1
"44","1",40,6,"accept","20.60",1
"45","1",40,14,"accept","20.60",1
"46","1",42,18,"accept","20.60",1
"47","1",42,19,"accept","20.60",1
"48","1",44,15,"accept","20.60",1
"49","1",46,14,"accept","20.60",1
"50","1",47,10,"accept","20.60",1
"51","1",47,15,"accept","20.60",1
"52","1",50,0,"accept","20.60",1
"53","1",50,1,"accept","20.60",1
"54","1",53,12,"accept","20.60",1
"55","1",53,12,"accept","20.60",1
"56","1",54,19,"accept","20.60",1
"57","1",55,15,"accept","20.60",1
"58","1",56,2,"accept","20.60",1
"59","1",56,4,"accept","20.60",1
"60","1",56,7,"accept","20.60",1
"61","1",56,12,"accept","20.60",1
"62","1",58,7,"accept","20.60",1
"63","1",59,9,"accept","20.60",1
"64","1",59,17,"accept","20.60",1
"65","2",0,5,"reject","20.60",0
"66","2",0,13,"reject","20.60",0
"67","2",2,1,"reject","20.60",0
"68","2",3,2,"reject","20.60",0
"69","2",4,3,"reject","20.60",0
"70","2",4,8,"accept","20.60",1
"71","2",4,12,"accept","20.60",1
"72","2",4,13,"accept","20.60",1
"73","2",5,18,"accept","20.60",1
"74","2",6,16,"accept","20.60",1
"75","2",6,16,"accept","20.60",1
"76","2",8,5,"reject","20.60",0
"77","2",8,17,"accept","20.60",1
"78","2",9,6,"reject","20.60",0
"79","2",9,8,"accept","20.60",1
"80","2",10,8,"accept","20.60",1
"81","2",10,11,"reject","20.60",0
"82","2",11,3,"reject","20.60",0
"83","2",12,2,"reject","20.60",0
"84","2",12,7,"reject","20.60",0
"85","2",12,18,"reject","20.60",0
"86","2",13,13,"reject","20.60",0
"87","2",14,19,"reject","20.60",0
"88","2",15,2,"reject","20.60",0
"89","2",15,12,"reject","20.60",0
"90","2",17,9,"reject","20.60",0
"91","2",17,13,"reject","20.60",0
"92","2",19,2,"reject","20.60",0
"93","2",20,14,"reject","20.60",0
"94","2",23,0,"reject","20.60",0
"95","2",23,10,"reject","20.60",0
"96","2",24,4,"reject","20.60",0
"97","2",25,4,"reject","20.60",0
"98","2",26,6,"reject","20.60",0
"99","2",28,0,"reject","20.60",0
"100","2",28,15,"reject","20.60",0
"101","2",29,8,"reject","20.60",0
"102","2",33,4,"reject","20.60",0
"103","2",33,18,"reject","20.60",0
"104","2",34,3,"reject","20.60",0
"105","2",35,0,"reject","20.60",0
"106","2",35,2,"reject","20.60",0
"107","2",35,2,"reject","20.60",0
"108","2",35,14,"reject","20.60",0
"109","2",35,18,"reject","20.60",0
"110","2",36,12,"reject","20.60",0
"111","2",37,2,"reject","20.60",0
"112","2",37,17,"reject","20.60",0
"113","2",39,0,"reject","20.60",0
"114","2",41,6,"reject","20.60",0
"115","2",42,17,"reject","20.60",0
"116","2",43,10,"reject","20.60",0
"117","2",44,8,"reject","20.60",0
"118","2",44,19,"reject","20.60",0
"119","2",45,7,"reject","20.60",0
"120","2",46,13,"reject","20.60",0
"121","2",48,12,"reject","20.60",0
"122","2",49,5,"reject","20.60",0
"123","2",50,1,"reject","20.60",0
"124","2",52,0,"reject","20.60",0
"125","2",52,2,"reject","20.60",0
"126","2",52,3,"reject","20.60",0
"127","2",53,2,"reject","20.60",0
"128","2",56,11,"reject","20.60",0
"129","3",0,1,"reject","20.60",0
"130","3",0,7,"reject","20.60",0
"131","3",1,19,"reject","20.60",0
"132","3",2,12,"accept","20.60",1
"133","3",3,12,"accept","20.60",1
"134","3",3,13,"reject","20.60",0
"135","3",3,16,"reject","20.60",0
"136","3",4,3,"accept","20.60",1
"137","3",4,13,"accept","20.60",1
"138","3",7,8,"accept","20.60",1
"139","3",10,2,"reject","20.60",0
"140","3",13,12,"accept","20.60",1
"141","3",13,15,"reject","20.60",0
"142","3",14,0,"reject","20.60",0
"143","3",14,18,"accept","20.60",1
"144","3",15,1,"accept","20.60",1
"145","3",16,17,"accept","20.60",1
"146","3",17,2,"reject","20.60",0
"147","3",18,5,"reject","20.60",0
"148","3",20,11,"accept","20.60",1
"149","3",22,9,"reject","20.60",0
"150","3",23,14,"reject","20.60",0
